date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2020-10-28,184110.36299104424,30502.4136949535,0.0,0,12,0.16406327764108156,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,58,519,207,73,1,16,20,55,0,78,4443.505806418753
2020-10-29,188939.31709623718,30504.691920232373,58.27975191862501,0,11,0.16532864932548283,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,58,520,207,73,1,16,20,56,1,79,4443.505806418753
2020-10-30,187359.50613185158,30565.25442050519,0.0,0,11,0.1695850701999606,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,58,521,207,73,1,16,20,56,1,79,4443.505806418753
2020-11-03,195224.75286246007,30567.537339357856,0.0,0,11,0.1654208778676338,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,58,522,207,73,0,16,20,56,1,79,4443.505806418753
2020-11-04,191418.87223348813,0.04374321578985303,18731.04673127235,0,11,0.15008760455424858,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,1,59,522,213,76,0,16,20,56,1,79,4443.505806418753
2020-11-05,192228.32549823722,14436.7627957705,4295.40588,0,11,0.1537690739394755,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,523,213,76,0,16,20,56,1,79,4443.505806418753
2020-11-06,191405.48205448224,18733.567781448895,0.0,0,11,0.15457789470616232,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,524,213,76,0,16,20,56,1,79,4443.505806418753
2020-11-09,185835.39967845153,18734.96699162649,0.0,0,11,0.1540309480837796,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,525,213,76,1,16,20,56,1,79,4443.505806418753
2020-11-10,188615.64942203977,18736.366306311094,24469.665605861996,0,10,0.15617805675332191,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,526,213,76,1,16,20,58,3,81,4443.505806418753
2020-11-11,187734.93553069665,43209.2589706966,0.0,0,10,0.15497891129188723,1,7.469e-05,V3,15,15,10,0.15,0.2,0.2,0,59,527,213,76,1,16,20,58,3,81,4443.505806418753
