date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross
2020-07-24,V1,D1DG34,rebalance_sell,,,1.0,616,27245.437439774407,6.8130626256000015,2020-07-27,1,,,
2020-07-24,V1,NVDC34,rebalance_sell,,,1.0,1,1.1072281175015624,0.00027687624843749997,2020-07-27,1,,,
2020-07-24,V1,T2TD34,rebalance_sell,,,1.0,12846,28533.909992898447,7.135261313553,2020-07-27,1,,,
2020-07-24,V1,BHIA3,concentration_trim,,,,3,1172.1069,0.2931,2020-07-28,1,0.15611728528074217,0.2,1194.419544936176
2020-07-24,V1,LWSA3,concentration_trim,,,,58,637.8405,0.1595,2020-07-28,1,0.15329349001842962,0.2,643.0635099361753
2020-07-31,V1,C2ZR34,rebalance_sell,,,1.0,1,16.152207438375,0.004039061625000001,2020-08-03,1,,,
2020-07-31,V1,T2TD34,rebalance_sell,,,1.0,1,2.347766267661,0.000587088339,2020-08-03,1,,,
2020-07-31,V1,TSLA34,rebalance_sell,,,1.0,114,1767.6679306604624,0.44202748953749993,2020-08-03,1,,,
2020-07-31,V1,LWSA3,concentration_trim,,,,215,2573.98134375,0.64365625,2020-08-04,1,0.16319072800973847,0.2,2577.6264172119663
2020-08-05,V1,KEPL3,defensive_sell,6.0,-5.702227382569378,1.0,2,13.9665075,0.0034925000000000004,2020-08-07,0,,,
2020-08-07,V1,TSLA34,rebalance_sell,,,1.0,1,16.40758000770539,0.004102920732109375,2020-08-10,1,,,
2020-08-07,V1,INBR32,concentration_trim,,,,35,1492.961166375,0.373333625,2020-08-11,1,0.157786847324479,0.2,1526.5742117952723
2020-08-07,V1,LWSA3,concentration_trim,,,,305,4185.07846875,1.04653125,2020-08-11,1,0.1713832331838235,0.2,4192.072711839017
2020-08-14,V1,DIRR3,rebalance_sell,,,1.0,1,5.0087475,0.0012525,2020-08-18,1,,,
2020-08-14,V1,T2TD34,rebalance_sell,,,1.0,1,2.50672228272,0.0006268372800000001,2020-08-17,1,,,
2020-08-21,V1,BPAC11,rebalance_sell,,,1.0,998,20611.03095375,5.15404625,2020-08-25,1,,,
2020-08-21,V1,CAMB3,rebalance_sell,,,1.0,1,4.218945,0.001055,2020-08-25,1,,,
2020-08-21,V1,MNPR3,rebalance_sell,,,1.0,1,0.5618595000000001,0.00014050000000000003,2020-08-25,1,,,
2020-08-21,V1,BHIA3,concentration_trim,,,,1,394.7013,0.09870000000000001,2020-08-25,1,0.1530900435701229,0.2,597.6625780332288
2020-08-21,V1,BPAC3,concentration_trim,,,,91,1146.0859068749999,0.286593125,2020-08-25,1,0.15599067798706134,0.2,1158.689883033232
2020-08-21,V1,LWSA3,concentration_trim,,,,117,1675.60599375,0.41900624999999997,2020-08-25,1,0.15871800868609473,0.2,1686.1953720019737
