date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,split_factor,ratio_applied,shares_before,shares_after,buy_price_before,buy_price_after
2019-10-08,V3,PPLA11,defensive_sell,6.0,-4.941778336320612,1.0,316.0,22746.312,5.688,2019-10-10,0.0,,,,,,,,,
2019-10-16,V3,CTKA4,rebalance_sell,,,1.0,907.0,21744.422535,5.437465000000001,2019-10-18,1.0,,,,,,,,,
2019-10-16,V3,LOGN3,rebalance_sell,,,1.0,1133.0,22880.87835,5.7216499999999995,2019-10-18,1.0,,,,,,,,,
2019-10-16,V3,LPSB3,rebalance_sell,,,1.0,2147.0,15819.4341525,3.9558475,2019-10-18,1.0,,,,,,,,,
2019-10-16,V3,W1DC34,rebalance_sell,,,1.0,1.0,187.429612499595,0.046869120405000006,2019-10-17,1.0,,,,,,,,,
2019-10-16,V3,HBOR3,concentration_trim,,,,111.0,1703.4240375,0.42596249999999997,2019-10-18,1.0,0.1612362032920944,0.2,1714.7425601096074,,,,,,
2019-10-18,V3,BGIP3,defensive_sell,4.0,-0.5664482075696978,0.25,102.0,5608.5975,1.4025,2019-10-22,0.0,,,,,,,,,
2019-10-30,V3,LOGN3,defensive_sell,6.0,-2.267310255308634,1.0,1.0,21.8845275,0.0054725,2019-11-01,1.0,,,,,,,,,
2019-10-30,V3,AMER3,rebalance_sell,,,1.0,1535.0,20306.809528125003,5.077971875,2019-11-01,1.0,,,,,,,,,
2019-10-30,V3,CTKA4,rebalance_sell,,,1.0,1.0,28.412895000000002,0.007105,2019-11-01,1.0,,,,,,,,,
2019-10-30,V3,HBOR3,rebalance_sell,,,1.0,1491.0,23999.098725000003,6.001275000000001,2019-11-01,1.0,,,,,,,,,
2019-10-30,V3,LPSB3,rebalance_sell,,,1.0,1.0,7.1982,0.0018000000000000002,2019-11-01,1.0,,,,,,,,,
2019-10-30,V3,NVDC34,rebalance_sell,,,1.0,2.0,0.8495540167187501,0.00021244161458333337,2019-10-31,1.0,,,,,,,,,
2019-10-30,V3,T2ER34,rebalance_sell,,,1.0,1638.0,22948.785870874504,5.738631125500001,2019-10-31,1.0,,,,,,,,,
2019-11-13,V3,AMER3,rebalance_sell,,,1.0,1.0,12.994250625000001,0.003249375,2019-11-18,1.0,,,,,,,,,
2019-11-13,V3,GRND3,rebalance_sell,,,1.0,2.0,19.935015,0.004985000000000001,2019-11-18,1.0,,,,,,,,,
2019-11-13,V3,HAPV3,rebalance_sell,,,1.0,133.0,22533.875122499998,5.6348775,2019-11-18,1.0,,,,,,,,,
2019-11-13,V3,HBOR3,rebalance_sell,,,1.0,1.0,16.3459125,0.004087500000000001,2019-11-18,1.0,,,,,,,,,
