arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
Baseline,2,2024-04-24,2024-04-23,2024-05-06,2024-05-03,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;JFEN3;BIOM3;OIBR4;C2OI34;RSID3;BSDV39;TXRX3;DDNB34,AMER3;L1RC34;JFEN3;BIOM3;OIBR4;C2OI34;RSID3;BSDV39;TXRX3;DDNB34,,,0.020460946294127647,0.020460946294127647,0.020460946294127647,0.0,0,0.0,0,0,
Baseline,2,2024-05-06,2024-05-03,2024-05-15,2024-05-14,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;BIOM3;JFEN3;OIBR4;DDNB34;RSID3;OIBR3;SYNE3;BSDV39,AMER3;L1RC34;BIOM3;JFEN3;OIBR4;DDNB34;RSID3;OIBR3;SYNE3;BSDV39,,,-0.027471979081364884,-0.027471979081364884,-0.027471979081364884,0.0,0,0.0,0,0,
Baseline,2,2024-05-15,2024-05-14,2024-05-24,2024-05-23,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;JFEN3;BIOM3;OIBR4;RSID3;DDNB34;BSDV39;EMBJ3;TXRX3,AMER3;L1RC34;JFEN3;BIOM3;OIBR4;RSID3;DDNB34;BSDV39;EMBJ3;TXRX3,,,-0.013522607341609632,-0.013522607341609632,-0.013522607341609632,0.0,0,0.0,0,0,
Baseline,2,2024-05-24,2024-05-23,2024-06-05,2024-06-04,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;JFEN3;OIBR4;DDNB34;M1RN34;BSDV39;BIOM3;D1EL34;TXRX3,AMER3;L1RC34;JFEN3;OIBR4;DDNB34;M1RN34;BSDV39;BIOM3;D1EL34;TXRX3,,,-0.03624719063916401,-0.03624719063916401,-0.03624719063916401,0.0,0,0.0,0,0,
Baseline,2,2024-06-05,2024-06-04,2024-06-14,2024-06-13,HOLDOUT,7,10,0,0.0,FSLR34;CBAV3;NEXT34;G2DD34;M1RN34;N1TA34;ARNC34;BSIL39;AURA33;N1RG34,FSLR34;CBAV3;NEXT34;G2DD34;M1RN34;N1TA34;ARNC34;BSIL39;AURA33;N1RG34,,,0.02693896372862461,0.02693896372862461,0.02693896372862461,0.0,0,0.0,0,0,
Baseline,2,2024-06-14,2024-06-13,2024-06-25,2024-06-24,HOLDOUT,7,10,0,0.0,FSLR34;N1TA34;MUTC34;NVDC34;CBAV3;AURA33;MNDL3;QCOM34;M1RN34;NEXT34,FSLR34;N1TA34;MUTC34;NVDC34;CBAV3;AURA33;MNDL3;QCOM34;M1RN34;NEXT34,,,-0.030340827487703736,-0.030340827487703736,-0.030340827487703736,0.0,0,0.0,0,0,
Baseline,2,2024-06-25,2024-06-24,2024-07-04,2024-07-03,HOLDOUT,7,10,0,0.0,FSLR34;N1TA34;CBAV3;MNDL3;I1PC34;AAPL34;A1PH34;COWC34;M1CK34;GOGL34,FSLR34;N1TA34;CBAV3;MNDL3;I1PC34;AAPL34;A1PH34;COWC34;M1CK34;GOGL34,,,0.018969314377485495,0.018969314377485495,0.018969314377485495,0.0,0,0.0,0,0,
Baseline,2,2024-07-04,2024-07-03,2024-07-15,2024-07-12,HOLDOUT,7,10,0,0.0,CBAV3;COWC34;JBSS32;AAPL34;NVDC34;P2AN34;N1TA34;TSLA34;GOGL35;GOGL34,CBAV3;COWC34;JBSS32;AAPL34;NVDC34;P2AN34;N1TA34;TSLA34;GOGL35;GOGL34,,,-0.011392411673227337,-0.011392411673227337,-0.011392411673227337,0.0,0,0.0,0,0,
Baseline,2,2024-07-15,2024-07-12,2024-07-24,2024-07-23,HOLDOUT,7,10,0,0.0,MNDL3;AMBP3;CBAV3;TSLA34;G1LL34;NVDC34;AAPL34;MWET4;JBSS32;N1TA34,MNDL3;AMBP3;CBAV3;TSLA34;G1LL34;NVDC34;AAPL34;MWET4;JBSS32;N1TA34,,,0.058393025007854635,0.058393025007854635,0.058393025007854635,0.0,0,0.0,0,0,
Baseline,2,2024-07-24,2024-07-23,2024-08-02,2024-08-01,HOLDOUT,7,10,0,0.0,AMBP3;MNDL3;MWET4;NVDC34;AURA33;INBR32;AAPL34;N1TA34;I1RM34;TSLA34,AMBP3;MNDL3;MWET4;NVDC34;AURA33;INBR32;AAPL34;N1TA34;I1RM34;TSLA34,,,-0.0010321493529882862,-0.0010321493529882862,-0.0010321493529882862,0.0,0,0.0,0,0,
