date,label,adtv_threshold,pct_threshold,n_universe
2019-01-17,V0_BASELINE,0.0,0.0,595
2019-01-18,V0_BASELINE,0.0,0.0,595
2019-01-21,V0_BASELINE,0.0,0.0,595
2019-01-22,V0_BASELINE,0.0,0.0,595
2019-01-23,V0_BASELINE,0.0,0.0,595
2019-01-24,V0_BASELINE,0.0,0.0,595
2019-01-28,V0_BASELINE,0.0,0.0,595
2019-01-29,V0_BASELINE,0.0,0.0,595
2019-01-30,V0_BASELINE,0.0,0.0,595
2019-01-31,V0_BASELINE,0.0,0.0,595
2019-02-01,V0_BASELINE,0.0,0.0,595
2019-02-04,V0_BASELINE,0.0,0.0,595
2019-02-05,V0_BASELINE,0.0,0.0,595
2019-02-06,V0_BASELINE,0.0,0.0,595
2019-02-07,V0_BASELINE,0.0,0.0,595
2019-02-08,V0_BASELINE,0.0,0.0,595
2019-02-11,V0_BASELINE,0.0,0.0,595
2019-02-12,V0_BASELINE,0.0,0.0,595
2019-02-13,V0_BASELINE,0.0,0.0,595
2019-02-14,V0_BASELINE,0.0,0.0,595
2019-02-15,V0_BASELINE,0.0,0.0,595
2019-02-18,V0_BASELINE,0.0,0.0,595
2019-02-19,V0_BASELINE,0.0,0.0,595
2019-02-20,V0_BASELINE,0.0,0.0,595
2019-02-21,V0_BASELINE,0.0,0.0,595
2019-02-22,V0_BASELINE,0.0,0.0,595
2019-02-25,V0_BASELINE,0.0,0.0,595
2019-02-26,V0_BASELINE,0.0,0.0,595
2019-02-27,V0_BASELINE,0.0,0.0,595
2019-02-28,V0_BASELINE,0.0,0.0,595
2019-03-01,V0_BASELINE,0.0,0.0,595
2019-03-06,V0_BASELINE,0.0,0.0,595
2019-03-07,V0_BASELINE,0.0,0.0,595
2019-03-08,V0_BASELINE,0.0,0.0,595
2019-03-11,V0_BASELINE,0.0,0.0,595
2019-03-12,V0_BASELINE,0.0,0.0,595
2019-03-13,V0_BASELINE,0.0,0.0,595
2019-03-14,V0_BASELINE,0.0,0.0,596
2019-03-15,V0_BASELINE,0.0,0.0,596
2019-03-18,V0_BASELINE,0.0,0.0,596
2019-03-19,V0_BASELINE,0.0,0.0,596
2019-03-20,V0_BASELINE,0.0,0.0,596
2019-03-21,V0_BASELINE,0.0,0.0,596
2019-03-22,V0_BASELINE,0.0,0.0,596
2019-03-25,V0_BASELINE,0.0,0.0,596
2019-03-26,V0_BASELINE,0.0,0.0,596
2019-03-27,V0_BASELINE,0.0,0.0,596
2019-03-28,V0_BASELINE,0.0,0.0,597
2019-03-29,V0_BASELINE,0.0,0.0,597
2019-04-01,V0_BASELINE,0.0,0.0,597
2019-04-02,V0_BASELINE,0.0,0.0,597
2019-04-03,V0_BASELINE,0.0,0.0,597
2019-04-04,V0_BASELINE,0.0,0.0,597
2019-04-05,V0_BASELINE,0.0,0.0,597
2019-04-08,V0_BASELINE,0.0,0.0,597
2019-04-09,V0_BASELINE,0.0,0.0,597
2019-04-10,V0_BASELINE,0.0,0.0,597
2019-04-11,V0_BASELINE,0.0,0.0,597
2019-04-12,V0_BASELINE,0.0,0.0,597
2019-04-15,V0_BASELINE,0.0,0.0,597
2019-04-16,V0_BASELINE,0.0,0.0,597
2019-04-17,V0_BASELINE,0.0,0.0,597
2019-04-18,V0_BASELINE,0.0,0.0,597
2019-04-22,V0_BASELINE,0.0,0.0,597
2019-04-23,V0_BASELINE,0.0,0.0,597
2019-04-24,V0_BASELINE,0.0,0.0,597
2019-04-25,V0_BASELINE,0.0,0.0,597
2019-04-26,V0_BASELINE,0.0,0.0,597
2019-04-29,V0_BASELINE,0.0,0.0,597
2019-04-30,V0_BASELINE,0.0,0.0,597
2019-05-02,V0_BASELINE,0.0,0.0,597
2019-05-03,V0_BASELINE,0.0,0.0,597
2019-05-06,V0_BASELINE,0.0,0.0,597
2019-05-07,V0_BASELINE,0.0,0.0,597
2019-05-08,V0_BASELINE,0.0,0.0,597
2019-05-09,V0_BASELINE,0.0,0.0,597
2019-05-10,V0_BASELINE,0.0,0.0,597
2019-05-13,V0_BASELINE,0.0,0.0,597
2019-05-14,V0_BASELINE,0.0,0.0,597
2019-05-15,V0_BASELINE,0.0,0.0,597
2019-05-16,V0_BASELINE,0.0,0.0,597
2019-05-17,V0_BASELINE,0.0,0.0,597
2019-05-20,V0_BASELINE,0.0,0.0,597
2019-05-21,V0_BASELINE,0.0,0.0,597
2019-05-22,V0_BASELINE,0.0,0.0,597
2019-05-23,V0_BASELINE,0.0,0.0,597
2019-05-24,V0_BASELINE,0.0,0.0,597
2019-05-27,V0_BASELINE,0.0,0.0,597
2019-05-28,V0_BASELINE,0.0,0.0,597
2019-05-29,V0_BASELINE,0.0,0.0,597
2019-05-30,V0_BASELINE,0.0,0.0,597
2019-05-31,V0_BASELINE,0.0,0.0,597
2019-06-03,V0_BASELINE,0.0,0.0,597
2019-06-04,V0_BASELINE,0.0,0.0,597
2019-06-05,V0_BASELINE,0.0,0.0,597
2019-06-06,V0_BASELINE,0.0,0.0,597
2019-06-07,V0_BASELINE,0.0,0.0,597
2019-06-10,V0_BASELINE,0.0,0.0,598
2019-06-11,V0_BASELINE,0.0,0.0,598
2019-06-12,V0_BASELINE,0.0,0.0,598
2019-06-13,V0_BASELINE,0.0,0.0,598
2019-06-14,V0_BASELINE,0.0,0.0,598
2019-06-17,V0_BASELINE,0.0,0.0,598
2019-06-18,V0_BASELINE,0.0,0.0,599
2019-06-19,V0_BASELINE,0.0,0.0,599
2019-06-21,V0_BASELINE,0.0,0.0,599
2019-06-24,V0_BASELINE,0.0,0.0,599
2019-06-25,V0_BASELINE,0.0,0.0,599
2019-06-26,V0_BASELINE,0.0,0.0,599
2019-06-27,V0_BASELINE,0.0,0.0,599
2019-06-28,V0_BASELINE,0.0,0.0,599
2019-07-01,V0_BASELINE,0.0,0.0,599
2019-07-02,V0_BASELINE,0.0,0.0,599
2019-07-03,V0_BASELINE,0.0,0.0,599
2019-07-04,V0_BASELINE,0.0,0.0,599
2019-07-05,V0_BASELINE,0.0,0.0,599
2019-07-08,V0_BASELINE,0.0,0.0,599
2019-07-10,V0_BASELINE,0.0,0.0,599
2019-07-11,V0_BASELINE,0.0,0.0,599
2019-07-12,V0_BASELINE,0.0,0.0,599
2019-07-15,V0_BASELINE,0.0,0.0,599
2019-07-16,V0_BASELINE,0.0,0.0,599
2019-07-17,V0_BASELINE,0.0,0.0,599
2019-07-18,V0_BASELINE,0.0,0.0,599
2019-07-19,V0_BASELINE,0.0,0.0,599
2019-07-22,V0_BASELINE,0.0,0.0,599
2019-07-23,V0_BASELINE,0.0,0.0,599
2019-07-24,V0_BASELINE,0.0,0.0,600
2019-07-25,V0_BASELINE,0.0,0.0,600
2019-07-26,V0_BASELINE,0.0,0.0,600
2019-07-29,V0_BASELINE,0.0,0.0,600
2019-07-30,V0_BASELINE,0.0,0.0,600
2019-07-31,V0_BASELINE,0.0,0.0,600
2019-08-01,V0_BASELINE,0.0,0.0,600
2019-08-02,V0_BASELINE,0.0,0.0,600
2019-08-05,V0_BASELINE,0.0,0.0,600
2019-08-06,V0_BASELINE,0.0,0.0,600
2019-08-07,V0_BASELINE,0.0,0.0,600
2019-08-08,V0_BASELINE,0.0,0.0,601
