variant,split,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct,hard_max_pct,max_weight_cap_param,equity_final,cagr,mdd,sharpe_excess,sharpe_raw,switches,cash_pct,cost_total,avg_tickers,max_concentration_pct,days_out_target_band,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,n_rebalance_days,n_non_rebalance_days,n_rebalance_sells,n_concentration_trims,tempo_regime_defensivo_pct,n_quarantine_entries,quarantine_size_final,phase_offset,cadence
C15_P6,HOLDOUT,10,15,15,15.0,20.0,0.2,709506.93,30.265,-12.734,1.0057,1.8014,31,71.902,3573.86,2.502,28.591,174,50,41,96,55,760,83,14,89.816,141,0,6.0,15
C15_P6,TRAIN,10,15,15,15.0,20.0,0.2,301875.18,28.386,-36.835,0.9021,1.1579,1,31.57,3573.86,5.682,24.527,388,38,36,74,74,1041,215,71,77.399,107,2,6.0,15
C15_P7,HOLDOUT,10,15,15,15.0,20.0,0.2,399114.93,31.195,-12.75,1.09,1.9188,31,71.902,2197.47,2.688,32.587,167,21,33,90,55,760,93,13,50.675,127,1,7.0,15
C15_P7,TRAIN,10,15,15,15.0,20.0,0.2,165954.08,12.135,-35.177,0.3485,0.6219,1,31.57,2197.47,5.226,24.475,502,14,28,74,74,1041,190,66,78.744,100,1,7.0,15
C15_P8,HOLDOUT,10,15,15,15.0,20.0,0.2,650794.09,29.701,-10.375,1.1158,2.0435,31,71.902,3391.27,2.298,27.745,179,38,41,84,55,760,80,15,60.736,122,1,8.0,15
C15_P8,TRAIN,10,15,15,15.0,20.0,0.2,280797.38,26.301,-32.058,0.8771,1.1513,1,31.57,3391.27,5.772,25.481,358,29,37,75,74,1041,219,56,80.09,105,1,8.0,15
C15_P9,HOLDOUT,10,15,15,15.0,20.0,0.2,366863.83,19.136,-17.585,0.4927,1.4815,31,71.902,2627.17,2.39,25.173,187,37,25,90,55,760,81,12,43.067,128,0,9.0,15
C15_P9,TRAIN,10,15,15,15.0,20.0,0.2,208281.26,18.048,-31.258,0.575,0.8474,1,31.57,2627.17,5.477,26.18,503,27,22,70,74,1041,213,64,75.874,100,1,9.0,15
C15_P10,HOLDOUT,10,15,15,15.0,20.0,0.2,455212.88,9.229,-25.068,-0.1532,0.6697,31,71.902,3415.59,2.369,29.174,200,34,24,92,54,761,77,15,49.693,127,1,10.0,15
C15_P10,TRAIN,10,15,15,15.0,20.0,0.2,342100.78,32.071,-19.618,1.1222,1.4118,1,31.57,3415.59,5.49,21.846,441,26,21,74,74,1041,205,61,79.641,101,1,10.0,15
C15_P11,HOLDOUT,10,15,15,15.0,20.0,0.2,427046.14,6.712,-18.896,-0.3217,0.5225,31,71.902,3084.3,1.999,29.073,153,52,26,90,54,761,64,12,64.785,124,0,11.0,15
C15_P11,TRAIN,10,15,15,15.0,20.0,0.2,346036.31,32.413,-28.66,1.1218,1.4074,1,31.57,3084.3,5.558,21.648,437,40,24,67,74,1041,200,53,77.22,93,0,11.0,15
C15_P12,HOLDOUT,10,15,15,15.0,20.0,0.2,283273.36,8.444,-17.991,-0.2222,0.6481,31,71.902,2491.96,2.225,27.205,181,35,25,87,54,761,81,15,77.055,124,0,12.0,15
C15_P12,TRAIN,10,15,15,15.0,20.0,0.2,217903.25,19.26,-36.243,0.6527,0.9479,1,31.57,2491.96,5.489,26.398,396,28,21,67,74,1041,208,51,79.103,95,0,12.0,15
C15_P13,HOLDOUT,10,15,15,15.0,20.0,0.2,329374.65,3.58,-20.684,-0.5411,0.319,31,71.902,3172.43,2.123,26.299,162,37,18,87,54,761,76,10,75.092,121,0,13.0,15
C15_P13,TRAIN,10,15,15,15.0,20.0,0.2,293850.32,27.606,-29.599,0.9394,1.2201,1,31.57,3172.43,5.371,24.948,484,29,15,64,74,1041,202,49,79.821,89,0,13.0,15
C15_P14,HOLDOUT,10,15,15,15.0,20.0,0.2,318067.61,5.259,-21.879,-0.4442,0.4412,31,71.902,2842.19,1.958,24.681,166,36,31,88,54,761,72,9,69.08,124,1,14.0,15
C15_P14,TRAIN,10,15,15,15.0,20.0,0.2,269397.29,25.123,-31.787,0.8687,1.1577,1,31.57,2842.19,5.465,23.607,427,28,27,66,74,1041,210,55,47.444,95,1,14.0,15
