date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,phase_offset,cadence
2019-04-16,C08_P1,T2TD34,rebalance_sell,,,1.0,12,9.488974819086,0.002372836914,2019-04-17,1,,,,1,8
2019-04-16,C08_P1,C1MG34,concentration_trim,,,,382,1049.9034468709083,0.26254149709200003,2019-04-17,1,0.15944698631386267,0.2,1051.0738275222284,1,8
2019-04-16,C08_P1,E2NP34,concentration_trim,,,,822,1235.6488295852398,0.30898945476,2019-04-17,1,0.1611172491459406,0.2,1236.9047281147868,1,8
2019-04-17,C08_P1,ENGI3,defensive_sell,6.0,-2.8350884796892073,1.0,2,22.90327275,0.00572725,2019-04-22,0,,,,1,8
2019-04-26,C08_P1,K1SG34,defensive_sell,6.0,-4.394227565339361,1.0,1,168.9395365545,0.0422454455,2019-04-29,0,,,,1,8
2019-04-29,C08_P1,BPAC3,rebalance_sell,,,1.0,1,4.841289375000001,0.0012106250000000001,2019-05-02,1,,,,1,8
2019-04-29,C08_P1,C1MG34,rebalance_sell,,,1.0,6071,16196.325740801312,4.050093958690001,2019-04-30,1,,,,1,8
2019-04-29,C08_P1,E2PA34,rebalance_sell,,,1.0,1,11.6265303739,0.002907359433333333,2019-04-30,1,,,,1,8
2019-04-29,C08_P1,T2TD34,rebalance_sell,,,1.0,2,1.7779421953019998,0.000444596698,2019-04-30,1,,,,1,8
2019-04-29,C08_P1,E2NP34,concentration_trim,,,,643,1033.44493783908,0.25842584092,2019-04-30,1,0.1592247643689959,0.2,1033.8382641677417,1,8
2019-05-08,C08_P1,M1SC34,defensive_sell,6.0,-3.0435711809427692,1.0,839,16787.943667483367,4.198035425727274,2019-05-09,0,,,,1,8
2019-05-10,C08_P1,T2TD34,defensive_sell,6.0,-3.2949706825063583,1.0,2,1.4522286080609998,0.00036314793899999996,2019-05-13,1,,,,1,8
2019-05-10,C08_P1,M1RN34,rebalance_sell,,,1.0,5,24.650929726500006,0.006164273500000002,2019-05-13,1,,,,1,8
