date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2020-03-20,138186.7909228632,0.026582895222405954,15208.6948755,0,8,0.15005594862952448,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,1,61,364,171,78,1,23,21,52,8,85,4742.135170949458,4,7
2020-03-23,139234.55540681502,0.026586677170909245,97513.73954748038,0,7,0.14892675126095214,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,61,365,171,78,1,23,21,56,12,89,4742.135170949458,4,7
2020-03-24,139606.07678162245,97527.63941766546,0.0,0,7,0.14887981251444382,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,61,366,171,78,1,24,21,56,11,89,4742.135170949458,4,7
2020-03-25,139010.1612735934,97541.5146749254,0.0,0,7,0.14916715303415015,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,61,367,171,78,0,24,21,56,4,89,4742.135170949458,4,7
2020-03-26,139500.61333732322,97555.39190621821,0.0,0,7,0.14864271564067866,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,61,368,171,78,0,24,21,56,4,89,4742.135170949458,4,7
2020-03-27,139380.6603159157,97569.27111182471,0.0,0,7,0.14877063972147225,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,61,369,171,78,0,24,21,56,4,89,4742.135170949458,4,7
2020-03-30,140302.8836814488,97583.15229202578,0.0,0,7,0.1525666978946442,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,61,370,171,78,0,24,21,56,4,89,4742.135170949458,4,7
2020-03-31,140287.38979034446,0.6409813273822086,511.917160447065,0,10,0.15010300986553338,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,1,62,370,173,79,0,24,21,56,4,89,4742.135170949458,4,7
2020-04-01,133731.71955291717,511.93113885717474,0.699825,0,10,0.15530345633880663,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,62,371,173,79,1,24,21,56,4,89,4742.135170949458,4,7
2020-04-02,138287.32344600192,512.7038958644026,0.0,0,10,0.158269022399195,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,62,372,173,79,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-03,138372.28998120013,512.7768382476672,0.0,0,10,0.16175518234930544,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,62,373,173,79,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-06,140636.13922823593,512.8497910084448,0.0,0,10,0.15660471485396207,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,62,374,173,79,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-07,137404.13122315824,512.9227541482115,0.0,0,10,0.1588161946372548,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,62,375,173,79,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-08,139338.46118402845,512.9957276684443,0.0,0,10,0.15876976178552632,0,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,62,376,173,79,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-09,137460.8711386195,0.04364725642684439,41024.46227010241,0,8,0.15064322727605814,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,1,63,376,177,81,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-13,142099.18736559205,23043.531041668066,17984.2528125,0,8,0.15740768593963175,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,63,377,177,81,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-14,145728.971832617,41033.620876977,0.0,0,8,0.16169244184680426,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,63,378,177,81,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-15,146570.03877861248,41039.45873021917,0.0,0,8,0.1653042319852715,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,63,379,177,81,0,24,21,56,0,89,4742.135170949458,4,7
2020-04-16,148884.08754700475,41045.29741401272,0.0,0,8,0.16859168882265801,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,63,380,177,81,0,24,21,56,0,89,4742.135170949458,4,7
2020-04-17,151317.70897653647,41051.13692847581,0.0,0,8,0.1642062538024076,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,63,381,177,81,1,24,21,56,0,89,4742.135170949458,4,7
2020-04-20,151640.4100079906,41056.977273726625,0.0,0,8,0.1659700283130585,1,0.00014227,C07_P4,10,15,7,0.15,0.2,0.2,0,63,382,177,81,1,24,21,56,0,89,4742.135170949458,4,7
