date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,target_pct,hard_max_pct,offensive_sell_enabled,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,off_sell_25_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2024-10-03,469120.50961563503,6.05642528498378,59917.055590350006,0,10,0.1511151155128207,0,0.00040168,V2,15,0.15,0.2,1,0,41,34,95,122,1,154,10819.046623898823
2024-10-04,463647.37735915586,0.35121880590526006,72899.60914035,0,7,0.1530247995882445,1,0.00040168,V2,15,0.15,0.2,1,0,41,34,95,122,1,154,10819.046623898823
2024-10-07,455295.3639269598,4.57507695994002,2353.21155,0,10,0.15247245085310515,0,0.00040168,V2,15,0.15,0.2,1,1,41,34,95,122,1,154,10819.046623898823
2024-10-08,456561.2672735494,1.7311508243995872,144836.09102272498,0,8,0.15204969185090092,1,0.00040168,V2,15,0.15,0.2,1,1,41,34,95,123,0,154,10819.046623898823
2024-10-09,457504.1183384494,71214.22456997435,385020.24696847505,1,4,0.002262602583249805,0,0.00040168,V2,15,0.15,0.2,1,1,42,34,95,123,1,155,10819.046623898823
2024-10-10,457620.6138451048,303153.21655105485,154467.39729405,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,42,35,95,123,1,155,10819.046623898823
2024-10-11,457804.3386959034,457574.8092926034,229.5294033,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,42,35,95,123,1,155,10819.046623898823
2024-10-14,457988.2295426708,457988.2295426708,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,42,35,95,123,1,155,10819.046623898823
2024-10-15,458172.1942547134,458172.1942547134,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,42,35,95,123,1,155,10819.046623898823
2024-10-16,458057.6801312071,0.4551312070793947,0.0,0,9,0.15002357340742728,0,0.00040168,V2,15,0.15,0.2,1,1,42,35,95,123,1,155,10819.046623898823
2024-10-17,455539.1471597742,0.4553140241826543,69731.17984575001,0,8,0.15078067478558355,1,0.00040168,V2,15,0.15,0.2,1,1,43,35,95,123,0,155,10819.046623898823
2024-10-18,459526.41133603174,0.09652728169304799,72692.58730875001,0,8,0.15012880282424498,1,0.00040168,V2,15,0.15,0.2,1,1,43,35,95,123,0,155,10819.046623898823
2024-10-21,460216.6763147235,1.3260697235373853,4527.887745,0,8,0.15000977485828523,1,0.00040168,V2,15,0.15,0.2,1,1,43,35,95,123,0,155,10819.046623898823
2024-10-22,441350.9853230525,0.060779127494530114,21473.654543924997,0,8,0.15544771005729652,1,0.00040168,V2,15,0.15,0.2,1,1,43,35,95,124,0,155,10819.046623898823
2024-10-23,437266.65551974694,3439.33204782198,433622.87947192497,1,4,0.00018476140126434025,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-10-24,437322.82660800987,136630.0935892599,300692.73301875,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-10-25,437498.46427929687,437433.33356604684,65.13071325,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-10-28,437674.19866242853,437674.19866242853,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-10-29,437850.00363454723,437850.00363454723,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-10-30,438025.87922400713,438025.87922400713,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-10-31,438201.8254591738,438201.8254591738,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-11-01,438377.84236842423,438377.84236842423,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-11-04,438553.92998014676,438553.92998014676,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-11-05,438730.08832274115,438730.08832274115,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-11-06,438906.31742461864,438906.31742461864,0.0,1,0,0.0,0,0.00040168,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-11-07,438796.61918634723,1.3691863472350498,0.0,0,8,0.15000949670500113,1,0.00041957,V2,15,0.15,0.2,1,1,43,35,96,124,1,156,10819.046623898823
2024-11-08,454019.7793258168,1.3697608167507593,85820.27956499999,0,7,0.1548879656838362,1,0.00041957,V2,15,0.15,0.2,1,1,44,38,96,124,4,160,10819.046623898823
2024-11-11,465078.9907326221,1.798560122129297,67654.3921725,0,7,0.149957601589652,1,0.00041957,V2,15,0.15,0.2,1,1,44,38,96,125,0,160,10819.046623898823
2024-11-12,456776.8913659731,0.6777659731441134,0.0,0,9,0.16045892729121525,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,96,125,0,160,10819.046623898823
2024-11-13,468116.37300784345,0.6780503434134655,78974.8213575,0,8,0.15452157662254642,1,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,1,161,10819.046623898823
2024-11-14,467536.7539686198,1.277501119762644,80528.3928675,0,8,0.15036229644679103,1,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,1,161,10819.046623898823
2024-11-18,461685.2747963421,2.7097963421930693,0.0,0,8,0.15325591666576713,1,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,1,161,10819.046623898823
2024-11-19,482425.5332013026,0.5524888027012407,258.6853125,0,9,0.15005942890214446,0,0.00041957,V2,15,0.15,0.2,1,0,44,38,97,125,1,161,10819.046623898823
2024-11-21,485224.43984386034,0.5527206104281901,1735.4730232499999,0,8,0.1515663143918833,1,0.00041957,V2,15,0.15,0.2,1,0,44,38,97,125,1,161,10819.046623898823
2024-11-22,482893.60698764253,0.3654843924021955,4356.49760325,0,10,0.1501541932855937,0,0.00041957,V2,15,0.15,0.2,1,0,44,38,97,125,1,161,10819.046623898823
2024-11-25,481467.31366973615,94.84420473610798,2165.198565,0,10,0.15049146212592507,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,1,161,10819.046623898823
2024-11-26,483615.77270261315,1050.2840776131516,1278.780225,0,10,0.15042040418465227,0,0.00041957,V2,15,0.15,0.2,1,1,44,38,97,125,0,161,10819.046623898823
