date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,i_above_ucl,xbar_above_ucl
2024-02-09,V3,C2RW34,concentration_sell,,,,32,2381.047757208,0.595410792,2024-02-14,,
2024-02-09,V3,U1BE34,concentration_sell,,,,2,176.227555594125,0.044067905875,2024-02-14,,
2024-02-14,V3,SBFG3,rebalance_sell,,,1.0,4875,59216.4421875,14.8078125,2024-02-16,,
2024-02-14,V3,NVDC34,concentration_sell,,,,218,1668.4316931903122,0.4172122263541666,2024-02-15,,
2024-02-14,V3,U1BE34,concentration_sell,,,,59,5803.522545302813,1.4512434471875002,2024-02-15,,
2024-02-15,V3,U1BE34,offensive_sell,,4.9107962408591925,0.25,174,17595.25160212125,4.39991287875,2024-02-16,1.0,1.0
2024-02-15,V3,A1LG34,rebalance_sell,,,1.0,143,55036.47089413687,13.762558363124999,2024-02-16,,
2024-02-15,V3,BMGB4,rebalance_sell,,,1.0,1,3.83904,0.00096,2024-02-19,,
2024-02-15,V3,C2RW34,rebalance_sell,,,1.0,905,67746.57875191023,16.940879907954546,2024-02-16,,
2024-02-15,V3,CEBR6,rebalance_sell,,,1.0,2852,65893.24257,16.477430000000002,2024-02-19,,
2024-02-15,V3,NVDC34,rebalance_sell,,,1.0,8957,67381.3878682681,16.849559356906248,2024-02-16,,
2024-02-15,V3,P2AN34,rebalance_sell,,,1.0,8,121.553635992,0.030396008,2024-02-16,,
2024-02-15,V3,SBFG3,rebalance_sell,,,1.0,1,11.627092500000002,0.0029075000000000004,2024-02-19,,
2024-02-15,V3,TPRY34,rebalance_sell,,,1.0,316,71392.35200886,17.852551140000003,2024-02-16,,
2024-02-15,V3,U1BE34,rebalance_sell,,,1.0,522,52785.75480636375,13.19973863625,2024-02-16,,
2024-02-15,V3,U1RI34,rebalance_sell,,,1.0,573,67221.30574546714,16.809528818571426,2024-02-16,,
2024-02-16,V3,C2RW34,rebalance_sell,,,1.0,1,74.45098096404546,0.018617399590909092,2024-02-19,,
2024-02-16,V3,NVDC34,rebalance_sell,,,1.0,1,7.525817019014062,0.0018819247359375,2024-02-19,,
2024-02-16,V3,TPRY34,rebalance_sell,,,1.0,2,456.7912756245,0.11422637549999999,2024-02-19,,
2024-02-16,V3,U1BE34,rebalance_sell,,,1.0,1,97.51961424993749,0.0243860000625,2024-02-19,,
2024-02-16,V3,U1RI34,rebalance_sell,,,1.0,1,115.54280675365176,0.028892924919642852,2024-02-19,,
2024-02-20,V3,CEBR6,rebalance_sell,,,1.0,3031,67786.5191325,16.9508675,2024-02-22,,
2024-02-20,V3,USIM5,rebalance_sell,,,1.0,1,10.3274175,0.0025825,2024-02-22,,
2024-02-21,V3,BMGB4,rebalance_sell,,,1.0,1,4.068982500000001,0.0010175000000000002,2024-02-23,,
2024-02-21,V3,A1LG34,concentration_sell,,,,3,1126.2302932696873,0.28162798031249997,2024-02-22,,
2024-02-21,V3,R1LC34,concentration_sell,,,,7,3175.6995605790003,0.7941234210000001,2024-02-22,,
2024-02-21,V3,TPRY34,concentration_sell,,,,16,3703.5041004480004,0.9261075520000001,2024-02-22,,
2024-02-22,V3,C2RW34,defensive_sell,6.0,-4.156563287494881,1.0,927,64725.7527692093,16.185484563443186,2024-02-23,,
2024-02-22,V3,A1LG34,rebalance_sell,,,1.0,176,68816.73752949602,17.208486504000003,2024-02-23,,
2024-02-22,V3,C2OI34,rebalance_sell,,,1.0,1924,64985.714636558056,16.250491281960002,2024-02-23,,
2024-02-22,V3,CEBR6,rebalance_sell,,,1.0,1,22.75431,0.005690000000000001,2024-02-26,,
2024-02-22,V3,NVDC34,rebalance_sell,,,1.0,9178,74194.55246339003,18.55327643495625,2024-02-23,,
2024-02-22,V3,R1LC34,rebalance_sell,,,1.0,146,67491.89833711725,16.877193882750003,2024-02-23,,
2024-02-22,V3,T2RM34,rebalance_sell,,,1.0,793,24056.1943855155,6.0155524845,2024-02-23,,
2024-02-22,V3,TPRY34,rebalance_sell,,,1.0,285,67306.672824075,16.830875925,2024-02-23,,
2024-02-22,V3,U1BE34,rebalance_sell,,,1.0,708,68237.04936077776,17.063528222250003,2024-02-23,,
2024-02-23,V3,C2OI34,rebalance_sell,,,1.0,1,33.08880165101999,0.008274268979999999,2024-02-26,,
