date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2022-01-12,227197.59811135157,227197.59811135157,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-13,227276.5470047193,227276.5470047193,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-14,227355.52333203796,227355.52333203796,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-17,227434.52710284063,227434.52710284063,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-18,227513.5583266636,227513.5583266636,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-19,227592.61701304652,227592.61701304652,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-20,227671.70317153237,227671.70317153237,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-21,227750.81681166744,227750.81681166744,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-24,227829.95794300133,227829.95794300133,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-25,227909.12657508694,227909.12657508694,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-26,227988.3227174805,227988.3227174805,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-27,228067.5463797416,228067.5463797416,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-28,228146.7975714331,228146.7975714331,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-01-31,228226.0763021212,228226.0763021212,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-01,228305.38258137542,228305.38258137542,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
2022-02-02,228384.71641876863,228384.71641876863,0.0,1,0,0.0,0,0.00034749,C3,,1,39,24,81,1,115,3421.984003014035
