date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-10-29,114906.58095036799,0.6098573679529837,2254.264293,0,9,0.15000289676572087,0,0.0002462,C2,12,0,8,3,12,5,20,11783.77856924861
2018-10-30,114016.87294890551,5.113108905513555,18063.32304,0,10,0.15657750768169412,0,0.0002462,C2,12,0,8,3,12,5,20,11783.77856924861
2018-10-31,116092.15368449819,0.37201547317909206,36084.700469025,0,10,0.15381711367444847,0,0.0002462,C2,12,0,8,3,12,5,20,11783.77856924861
2018-11-01,118307.35408592944,4.786134404430651,18851.079951525,0,10,0.15011289988871598,0,0.0002462,C2,12,0,8,3,12,5,20,11783.77856924861
2018-11-05,118511.88467796314,0.2551754631648075,855.7760025,0,10,0.15578352205070434,0,0.0002462,C2,12,0,8,3,12,5,20,11783.77856924861
2018-11-06,117308.17971930241,1.0908014523803642,979.2837178500001,0,9,0.15366524349055166,0,0.0002462,C2,12,0,8,3,12,5,20,11783.77856924861
2018-11-07,116152.08281689031,0.4777290403199453,1397.69908785,0,9,0.15477811128313018,0,0.0002462,C2,12,1,8,3,12,5,20,11783.77856924861
2018-11-08,115641.5757100842,0.32976805923237335,1127.549942025,0,9,0.15011901985425966,0,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-09,115280.19516690125,0.18553322626949137,727.683333675,0,10,0.1502426325261188,0,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-12,113706.24367986093,0.4360725859143437,289.098607275,0,8,0.15431533425202548,1,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-13,111432.90229900199,0.39394787700861955,1428.638251125,0,8,0.150064825154875,1,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-14,111346.59485904867,0.49005429867989025,1202.0804047499998,0,8,0.15016175412607363,1,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-16,113687.92627790537,0.2959976553654417,32248.41488025,0,8,0.15001593008486908,1,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-19,113610.45346632166,1.0905053216915397,43274.134760999994,0,7,0.15011822838164915,1,0.0002462,C2,12,0,8,3,12,1,20,11783.77856924861
2018-11-21,113269.63729356803,0.7358485680110841,11093.445945,0,8,0.1501726359016593,1,0.0002462,C2,12,0,8,3,12,1,20,11783.77856924861
2018-11-22,117152.84800387225,0.2293588722667538,49.807545000000005,0,9,0.15385823142263022,0,0.0002462,C2,12,0,8,3,12,1,20,11783.77856924861
2018-11-23,115969.2172513526,0.011803627604577847,586.862347725,0,7,0.15204724510455675,1,0.0002462,C2,12,0,8,3,12,1,20,11783.77856924861
2018-11-26,114944.14885425869,0.011806533657694095,1245.497647725,0,7,0.15033388103912845,1,0.0002462,C2,12,0,8,3,12,1,20,11783.77856924861
2018-11-27,117047.68446872063,1.6608962206576596,1758.4702724999997,0,8,0.1502567101590116,1,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-28,117473.57628777117,0.13122852116719683,1181.86745925,0,9,0.15224019362609395,0,0.0002462,C2,12,1,8,3,12,1,20,11783.77856924861
2018-11-29,118451.32328073416,1.038793459166411,18209.097487275,0,8,0.1504991679810089,1,0.0002462,C2,12,1,8,3,13,2,21,11783.77856924861
2018-11-30,119568.25597375381,0.7318806038194655,18220.671093150002,0,7,0.1545121641989606,1,0.0002462,C2,12,1,8,3,13,2,21,11783.77856924861
2018-12-03,120221.49154971288,0.8582903378941428,1365.0211593749998,0,9,0.15002356706364683,0,0.0002462,C2,12,0,8,3,13,2,21,11783.77856924861
2018-12-04,118671.31681879205,1.2013686670576094,1547.0126501249997,0,9,0.15218259208816817,0,0.0002462,C2,12,0,8,3,13,2,21,11783.77856924861
2018-12-05,119752.9002510515,3.2999976765069676,542.8507533750001,0,10,0.15002442498124174,0,0.0002462,C2,12,1,8,3,13,2,21,11783.77856924861
2018-12-06,118781.25632682032,0.18056364533438068,273.678863175,0,9,0.15084676955007284,0,0.0002462,C2,12,1,8,3,13,1,21,11783.77856924861
2018-12-07,117237.67603810654,1.2409074315456528,17651.463330674997,0,9,0.15096423093756375,0,0.0002462,C2,12,1,8,3,13,1,21,11783.77856924861
2018-12-10,114635.10200794216,1.6955254421614843,34838.55818249999,0,10,0.15196769309624766,0,0.0002462,C2,12,1,8,3,13,1,21,11783.77856924861
2018-12-11,117492.43307520542,1.5608565054445047,18565.682618699993,0,9,0.150081205559111,0,0.0002462,C2,12,1,8,3,13,1,21,11783.77856924861
2018-12-12,117915.92346734351,0.61240934350528,1783.322058,0,9,0.15005887822182384,0,0.0002462,C2,12,1,8,3,13,1,21,11783.77856924861
2018-12-13,119835.87488028075,0.04189598075694482,18340.676484300006,0,9,0.15443120867176366,0,0.0002462,C2,12,0,8,3,14,2,22,11783.77856924861
2018-12-14,122228.47563092837,0.36898852837201035,19416.575042400007,0,9,0.15059462293860396,0,0.0002462,C2,12,0,8,3,14,2,22,11783.77856924861
2018-12-17,121346.62388012983,4.558398529857238,1673.2551816,0,10,0.15078668540523077,0,0.0002462,C2,12,0,8,3,14,2,22,11783.77856924861
2018-12-18,122996.72404596234,6.964884587373865,18479.133561375,0,10,0.15012501384264432,0,0.0002462,C2,12,0,8,3,14,2,22,11783.77856924861
2018-12-19,122732.33984291085,96.50171181086424,35878.5037311,0,10,0.1550293917996955,0,0.0002462,C2,12,1,8,3,14,2,22,11783.77856924861
2018-12-20,125411.16051579015,1.7332831151311363,20481.947532674996,0,9,0.150063622907233,0,0.0002462,C2,12,1,8,3,14,1,22,11783.77856924861
2018-12-21,124864.36881189182,0.5258267668116378,3559.169485125,0,9,0.15064381599795962,0,0.0002462,C2,12,1,8,3,14,1,22,11783.77856924861
2018-12-26,123666.951410901,3.5505660260047254,11798.070244875002,0,10,0.1500901961941941,0,0.0002462,C2,12,1,8,3,14,1,22,11783.77856924861
2018-12-27,125363.48442304016,0.2962311401600752,11195.232891900001,0,9,0.15647937747010077,0,0.0002462,C2,12,1,8,3,14,1,22,11783.77856924861
2018-12-28,127527.37821974569,0.514771345671758,925.5749484,0,10,0.15312299031469057,0,0.0002462,C2,12,1,8,3,14,1,22,11783.77856924861
2019-01-02,130025.46747895691,0.9515389569001474,1621.4345400000002,0,10,0.1500629098154005,0,0.0002462,C2,12,1,8,3,14,0,22,11783.77856924861
2019-01-03,130751.23527468233,361.4511746823392,755.811,0,10,0.14993669282599925,0,0.0002462,C2,12,1,8,3,14,0,22,11783.77856924861
2019-01-04,129395.83335233633,85.12515233630099,0.0,0,10,0.15507882580237414,0,0.0002462,C2,12,1,8,3,14,0,22,11783.77856924861
2019-01-07,128092.71744839037,4.286002290335171,162.5749461,0,10,0.15007478475695,0,0.0002462,C2,12,1,8,3,14,0,22,11783.77856924861
2019-01-08,127115.47243074741,0.8699625724011816,2855.813168175,0,10,0.15003249199573354,0,0.0002462,C2,12,1,9,3,14,1,23,11783.77856924861
2019-01-09,128118.64908805492,0.048681804911461735,2698.5002062500002,0,9,0.15004138848504495,0,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-10,128693.39741099134,0.033767191348422786,18734.340043800003,0,10,0.15004561530326652,0,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-11,127214.15318443177,0.004429956735317859,19317.351554475004,0,7,0.15008848246876208,1,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-14,129126.86652121897,0.06292044393868583,928.564700775,0,8,0.1500927221587553,1,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-15,130531.45959322681,0.0894123018289955,341.19098092499996,0,9,0.14999142782140407,0,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-16,133490.38656996796,0.05166612793873096,18782.9031,0,9,0.14627300513333652,0,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-01-17,136277.74207648213,0.9516753727444296,18790.42670110938,0,6,0.15060962771514846,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-01-18,136707.2421902881,0.877305968107836,7.39815,0,8,0.14997376636024723,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-01-21,136800.42510473137,0.4536126200461843,19504.172692111348,0,8,0.15253110495837427,1,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-22,133768.20125176248,0.4465516374985216,20406.622168725,0,8,0.15003341460970396,1,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-23,132466.1776663752,0.8459011961730406,904.4232014190601,0,9,0.15084039074732036,0,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-24,132692.704003308,0.4468635559608316,1.0071397521,0,8,0.1530635022668139,1,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-28,130672.13908029237,0.41398764233092095,15226.852135050001,0,9,0.15004327653925273,0,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-01-29,132203.8211922641,0.41408956608846287,54324.436702697996,0,8,0.15004025920818617,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-01-30,132564.01941637514,0.33949612014053304,58434.943710975,0,7,0.15000595853646567,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-01-31,132741.21616637238,0.7440173271246143,19745.502049045263,0,7,0.15004459033309386,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-02-01,135058.36568008017,0.989714680163662,34948.19916540001,0,6,0.15301904399579236,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-02-04,135290.7476957877,0.22615841265971554,35529.50990137501,0,7,0.1500085914643214,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-02-05,133794.740225488,0.35547661297101896,21050.782088474996,0,8,0.152239168488028,1,0.0002462,C2,12,0,9,3,14,0,23,11783.77856924861
2019-02-06,132323.81393974484,1.0246228898750467,21286.797069974997,0,9,0.15013170651993307,0,0.0002462,C2,12,1,9,3,14,0,23,11783.77856924861
2019-02-07,131868.05889467674,0.6268973917410595,13285.729237125002,0,9,0.15471942311894918,0,0.0002462,C2,12,1,9,3,15,1,24,11783.77856924861
2019-02-08,132118.86992489756,0.1321582961046578,13858.085166601442,0,7,0.15572531169616688,1,0.0002462,C2,12,1,9,3,15,0,24,11783.77856924861
2019-02-11,130123.23320857066,0.06465030567484523,2718.924798825,0,9,0.152855101349341,0,0.0002462,C2,12,1,9,3,15,0,24,11783.77856924861
2019-02-12,132007.4023506074,0.6817311065607565,39880.336619500806,0,8,0.1500310751316657,1,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-13,132225.5116116175,0.1514283774908584,39540.377233800005,0,9,0.15138753676216637,0,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-14,132143.59343725452,0.2330914004695061,1755.1530458540399,0,9,0.15004473152468514,0,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-15,133353.98839326002,0.9903148100031056,13777.04107845,0,8,0.15003300794422447,1,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-18,133714.36688655734,0.33276856531051435,14132.9562774,0,8,0.1500030121446616,1,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-19,131932.94828076637,1.073320001653548,18909.512460764745,0,7,0.15026515558350595,1,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-20,130927.7863713871,0.21706688711207273,18261.9433725,0,7,0.15015193141840424,1,0.0002462,C2,12,1,9,3,15,0,24,11783.77856924861
2019-02-21,129288.4819483316,1.1011835567743784,1109.86576477485,0,8,0.15313042354315834,1,0.0002462,C2,12,1,9,3,15,0,24,11783.77856924861
2019-02-22,130622.07684695887,0.6388748338929444,11667.193972125,0,7,0.15399081445908205,1,0.0002462,C2,12,1,9,3,15,0,24,11783.77856924861
2019-02-25,130591.58404516021,0.6526201352217794,13113.967788225,0,8,0.15005561149502142,1,0.0002462,C2,12,1,9,3,15,0,24,11783.77856924861
2019-02-26,129456.74633097531,0.1761547753050884,2451.1726535999996,0,9,0.15065224913144215,0,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-27,132258.0080097479,0.2723770080282872,12979.584932779888,0,9,0.1507186619545246,0,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-02-28,131297.2406364908,0.7664246852308966,32945.04685620562,0,8,0.15109076096216587,1,0.0002462,C2,12,0,9,3,15,0,24,11783.77856924861
2019-03-01,131658.68370199436,0.041087844391445943,20390.87960535,0,8,0.15129075150930035,1,0.0002462,C2,12,1,9,3,15,0,24,11783.77856924861
2019-03-06,130769.03911620383,1.114609943812215,3526.2906068999996,0,8,0.15098824334447078,1,0.0002462,C2,12,1,10,3,15,1,25,11783.77856924861
2019-03-07,131775.8778688309,0.054309434273831066,24264.50453047662,0,9,0.1499890406321097,0,0.0002462,C2,12,1,10,3,16,2,26,11783.77856924861
2019-03-08,132508.71026559526,0.014332731102920646,20881.26324230412,0,10,0.15415881762833664,0,0.0002462,C2,12,1,11,3,16,3,27,11783.77856924861
2019-03-11,132884.5594034682,0.3535139239260047,1361.47288954428,0,10,0.15458492764106546,0,0.0002462,C2,12,1,12,3,16,2,28,11783.77856924861
2019-03-12,132982.3782770676,0.6926943925885138,21836.608782674994,0,9,0.1512674104691428,0,0.0002462,C2,12,0,12,3,17,3,29,11783.77856924861
2019-03-13,133140.16383024983,0.9549760998333223,21346.045554149994,0,9,0.15005389377071576,0,0.0002462,C2,12,0,12,3,17,3,29,11783.77856924861
2019-03-14,133195.42093259832,0.006625433348282295,852.274378125,0,10,0.15000245398909334,0,0.0002462,C2,12,0,12,3,17,3,29,11783.77856924861
2019-03-15,134323.45709167694,599.4903430019681,20188.568095874994,0,10,0.15098074929800642,0,0.0002462,C2,12,0,12,3,17,3,29,11783.77856924861
2019-03-18,134419.44458940782,0.6291864811813022,20922.224269446626,0,9,0.15192801950923437,0,0.0002462,C2,12,0,12,3,17,3,29,11783.77856924861
2019-03-19,134194.32474238967,0.26162931469064715,1128.3983298750002,0,9,0.15561909969060977,0,0.0002462,C2,12,1,12,3,17,3,29,11783.77856924861
2019-03-20,134558.36179908452,1.5226279434199104,1217.63367114108,0,8,0.156458504090849,1,0.0002462,C2,12,1,12,4,17,2,30,11783.77856924861
2019-03-21,130297.6495280757,0.9459730757456453,3286.5581549999997,0,9,0.1522253108313068,0,0.0002462,C2,12,1,12,4,17,1,30,11783.77856924861
2019-03-22,127397.18839682973,0.52490052974742,20073.310417499997,0,9,0.15014507180816244,0,0.0002462,C2,12,1,12,4,17,1,30,11783.77856924861
2019-03-25,128751.10927321686,0.40218323686770235,56521.3817211,0,9,0.15014806559046429,0,0.0002462,C2,12,1,12,4,18,2,31,11783.77856924861
2019-03-26,129136.06691243846,0.3920378025507061,39564.39447631192,0,8,0.15354927925321601,1,0.0002462,C2,12,1,12,4,18,0,31,11783.77856924861
2019-03-27,126498.99542054233,0.345307256009797,1686.2912205573045,0,9,0.151502308269618,0,0.0002462,C2,12,1,12,4,18,0,31,11783.77856924861
2019-03-28,130496.44558025296,0.72683235396958,41031.19013737501,0,6,0.15002832769080887,1,0.0002462,C2,12,1,12,4,21,3,34,11783.77856924861
2019-03-29,131278.1170615008,0.28221430280155074,40106.20464157501,0,7,0.15200553181800697,1,0.0002462,C2,12,1,12,4,21,2,34,11783.77856924861
2019-04-01,132471.70273725898,0.6565137470184194,1024.5103604279836,0,9,0.15238084498722493,0,0.0002462,C2,12,0,12,4,21,2,34,11783.77856924861
2019-04-02,132238.83532218568,0.28258463021339025,1314.3099503475,0,9,0.15036181957558517,0,0.0002462,C2,12,0,12,4,21,2,34,11783.77856924861
2019-04-03,133699.68789645916,0.589708639015394,569.45769549612,0,9,0.15590911488247422,0,0.0002462,C2,12,1,12,4,21,2,34,11783.77856924861
2019-04-04,132035.9565365649,0.6400713884232679,1210.34049729048,0,9,0.1524874398896055,0,0.0002462,C2,12,1,12,4,21,0,34,11783.77856924861
2019-04-05,131410.4752763635,0.3473469991414014,2415.4485454343567,0,9,0.15241466068727136,0,0.0002462,C2,12,1,12,4,21,0,34,11783.77856924861
2019-04-08,132586.44815356654,0.2491339841872378,12844.470070146339,0,9,0.15095094769277614,0,0.0002462,C2,12,1,12,4,21,0,34,11783.77856924861
2019-04-09,131812.67619987854,0.045587892390151895,18543.679721501165,0,8,0.15010851285650653,1,0.0002462,C2,12,1,12,4,21,0,34,11783.77856924861
2019-04-10,135548.74424887262,0.29392182253934585,18089.07054137504,0,6,0.14999695889966982,1,0.0002462,C2,12,0,12,4,21,0,34,11783.77856924861
2019-04-11,128537.05190891254,0.5160357425485411,36915.04982977501,0,7,0.15323434457138266,1,0.0002462,C2,12,0,12,4,21,0,34,11783.77856924861
2019-04-12,128336.9498390081,0.18533812166495997,57101.723559050086,0,7,0.15002239188442912,1,0.0002462,C2,12,1,12,4,21,0,34,11783.77856924861
2019-04-15,127824.18183322836,0.6846043884966756,31920.71943241805,0,8,0.15018935162868732,1,0.0002462,C2,12,1,12,5,21,1,35,11783.77856924861
2019-04-16,128052.26627950436,0.01943114615390651,13606.35378818119,0,8,0.15057712196137976,1,0.0002462,C2,12,1,12,5,21,1,35,11783.77856924861
2019-04-17,128144.19773140342,0.1534275663857,19226.655166396507,0,9,0.15006923707107245,0,0.0002462,C2,12,1,12,5,21,1,35,11783.77856924861
2019-04-18,128245.91949738508,0.00610721887258176,18998.81875248513,0,8,0.151394208806744,1,0.0002462,C2,12,1,12,5,21,0,35,11783.77856924861
2019-04-22,128930.55529398442,1.4494081376014702,129.9851438645975,0,8,0.15043741078888354,1,0.0002462,C2,12,1,12,5,21,0,35,11783.77856924861
2019-04-23,131344.47415059392,0.8040964210099534,964.76135004316,0,9,0.15035279821454675,0,0.0002462,C2,12,0,12,5,21,0,35,11783.77856924861
2019-04-24,132447.9355111903,0.705607582081118,19773.215412012007,0,8,0.1508005594644584,1,0.0002462,C2,12,0,12,5,21,0,35,11783.77856924861
2019-04-25,132991.9791170374,0.70469101750266,20349.01470519225,0,10,0.15018762781868542,0,0.0002462,C2,12,0,12,5,21,0,35,11783.77856924861
2019-04-26,131091.5577803541,0.14644388395201724,13544.843562956848,0,10,0.1525083445717147,0,0.0002462,C2,12,1,12,5,21,0,35,11783.77856924861
2019-04-29,130593.68780635217,0.5174908034529029,39146.672411130494,0,10,0.1502151301454082,0,0.0002462,C2,12,1,12,5,21,0,35,11783.77856924861
2019-04-30,131586.5034217584,2.0617321521361167,19645.410265021055,0,10,0.15081376698180837,0,0.0002462,C2,12,1,12,5,21,0,35,11783.77856924861
2019-05-02,131682.1409834782,0.3764131156830486,13366.938085835998,0,9,0.15240015205138,0,0.0002462,C2,12,1,12,5,21,0,35,11783.77856924861
2019-05-03,130570.11079340971,0.3601529249607518,1446.6539602547875,0,9,0.1520036291337952,0,0.0002462,C2,12,1,12,5,21,0,35,11783.77856924861
2019-05-06,130283.29425209109,0.060452236471750714,50613.97860491862,0,7,0.15031400995454702,1,0.0002462,C2,12,1,12,5,22,1,36,11783.77856924861
2019-05-07,128902.40217102611,0.1754352427708825,19381.70606842335,0,7,0.15027783568454037,1,0.0002462,C2,12,1,12,5,22,1,36,11783.77856924861
2019-05-08,127082.88232241254,1.050634483981705,31968.324471125954,0,8,0.1504706687363792,1,0.0002462,C2,12,1,12,5,24,3,38,11783.77856924861
2019-05-09,127153.95757580742,0.2507830621326487,157.383108384,0,8,0.1506554300572139,1,0.0002462,C2,12,1,12,5,24,2,38,11783.77856924861
2019-05-10,129444.23979383806,0.6713313816284433,277.51296546573604,0,8,0.15047626951720022,1,0.0002462,C2,12,1,12,5,24,0,38,11783.77856924861
2019-05-13,126316.13248786623,1.4783514404016982,13520.837312401585,0,7,0.15012156293777337,1,0.0002462,C2,12,1,12,5,24,0,38,11783.77856924861
2019-05-14,128520.043937403,1.8504903915823134,70194.6987315314,0,10,0.1502107937451589,0,0.0002462,C2,12,1,12,5,26,2,40,11783.77856924861
2019-05-15,129824.72919121056,12219.907463052365,830.9358515906249,0,10,0.150030229201346,0,0.0002462,C2,12,1,12,5,26,2,40,11783.77856924861
2019-05-16,130105.71069585129,12278.111736417646,335.40879707244,0,10,0.15125729166465807,0,0.0002462,C2,12,0,12,5,26,0,40,11783.77856924861
2019-05-17,131009.90534938495,0.9079633351713181,556.8977488279801,0,9,0.15173209347023867,0,0.0002462,C2,12,0,12,5,26,0,40,11783.77856924861
2019-05-20,129067.10220609556,0.7990282872149004,20175.4944826956,0,10,0.15104761045049078,0,0.0002462,C2,12,1,12,5,26,0,40,11783.77856924861
2019-05-21,129301.68323127432,1.5566700905671027,21879.5582477004,0,10,0.15475586833474508,0,0.0002462,C2,12,1,12,6,27,2,42,11783.77856924861
2019-05-22,127683.05924753757,0.1650678126567427,1316.5565917267052,0,10,0.15021961498286943,0,0.0002462,C2,12,1,12,6,27,1,42,11783.77856924861
2019-05-23,127222.54418675962,2.5231124087376093,11164.971275695876,0,10,0.1533962406171643,0,0.0002462,C2,12,1,12,6,28,2,43,11783.77856924861
2019-05-24,127625.57181538345,1.0864905327423202,1205.7947443488958,0,8,0.15569837779864754,1,0.0002462,C2,12,1,12,6,28,2,43,11783.77856924861
2019-05-27,127688.89186017812,1.0496632862101432,1974.2009695391998,0,9,0.15008271840110296,0,0.0002462,C2,12,1,12,6,28,1,43,11783.77856924861
2019-05-28,128702.13375949243,0.012417381816993216,20450.4036054288,0,8,0.15009075168946276,1,0.0002462,C2,12,1,12,6,28,1,43,11783.77856924861
2019-05-29,128344.3432785681,1.3201995898354204,2551.818001971,0,9,0.1503338558375088,0,0.0002462,C2,12,1,12,7,28,1,44,11783.77856924861
2019-05-30,127631.24332456598,0.24498034508078823,20435.33624841,0,8,0.1506310053809497,1,0.0002462,C2,12,1,12,7,29,2,45,11783.77856924861
2019-05-31,125655.07865213511,1.9701548700877183,864.769268665239,0,10,0.15014912411325299,0,0.0002462,C2,12,1,13,7,29,2,45,11783.77856924861
2019-06-03,124830.41956059849,1.5642834421153426,18681.8498480164,0,9,0.15475695990320665,0,0.0002462,C2,12,1,13,7,29,2,45,11783.77856924861
2019-06-04,124128.62816003778,0.3928493292173219,19700.626086708566,0,10,0.1501587528701995,0,0.0002462,C2,12,1,14,7,30,3,46,11783.77856924861
2019-06-05,119504.07663118168,2.6317431960795723,1020.55485520557,0,9,0.15699732200687586,0,0.0002462,C2,12,1,14,7,31,3,47,11783.77856924861
2019-06-06,123473.69084045883,0.5405008178029646,39431.796285824996,0,9,0.15003390498739186,0,0.0002462,C2,12,1,14,7,32,3,48,11783.77856924861
2019-06-07,124303.27597999523,0.8471621720050908,39427.972913055215,0,9,0.15483226349639717,0,0.0002462,C2,12,1,14,7,32,3,48,11783.77856924861
2019-06-10,123969.33430638972,1.1795509691893902,557.156993820525,0,10,0.15003022502026414,0,0.0002462,C2,12,0,14,7,32,2,48,11783.77856924861
2019-06-11,125050.54300433998,15.842500545020513,18689.43289355496,0,10,0.15590396116331443,0,0.0002462,C2,12,0,14,7,32,2,48,11783.77856924861
2019-06-12,124525.77001006127,786.7928690113006,19113.863339249998,0,10,0.15002918671766105,0,0.0002462,C2,12,1,14,7,32,2,48,11783.77856924861
2019-06-13,125001.6780920738,0.45087208290752856,1218.65526,0,10,0.15313734930678344,0,0.0002462,C2,12,1,14,7,32,0,48,11783.77856924861
2019-06-14,125013.715573305,0.02270577388050392,10956.257082869979,0,10,0.15242729415498668,0,0.0002462,C2,12,1,14,7,32,0,48,11783.77856924861
2019-06-17,124557.43855418375,2.0690817704254245,11448.443233484997,0,10,0.15053296067776442,0,0.0002462,C2,12,1,14,7,32,0,48,11783.77856924861
2019-06-18,124844.12911557451,1.6659958006551159,19625.962036929406,0,9,0.15009916872144113,0,0.0002462,C2,12,1,14,7,32,0,48,11783.77856924861
2019-06-19,126849.86435938858,0.9157000273388348,37623.050253741254,0,9,0.1539689118547682,0,0.0002462,C2,12,0,14,7,32,0,48,11783.77856924861
2019-06-21,125418.78789183268,0.6050069017882774,601.3455158497666,0,10,0.15380949157822482,0,0.0002462,C2,12,0,14,7,32,0,48,11783.77856924861
2019-06-24,125292.83324800438,1.209036594137378,19232.17082773026,0,8,0.15185633133811388,1,0.0002462,C2,12,1,14,7,32,0,48,11783.77856924861
2019-06-25,122347.58292772365,0.31828468731034193,1800.666775236375,0,8,0.15009875602404496,1,0.0002462,C2,12,1,14,7,32,0,48,11783.77856924861
2019-06-26,124183.92623370848,0.20257828618326265,19584.1584068623,0,8,0.1528637621180896,1,0.0002462,C2,12,1,15,7,32,1,49,11783.77856924861
2019-06-27,125919.69103984069,0.42681345409061194,20946.787647186597,0,8,0.1500197087778997,1,0.0002462,C2,12,1,15,7,32,0,49,11783.77856924861
