date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2022-07-08,284656.101106119,284656.101106119,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,50,945,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-11,284795.68791841844,284795.68791841844,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,50,946,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-12,284935.343179903,284935.343179903,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,50,947,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-13,285075.06692413817,285075.06692413817,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,50,948,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-14,285214.85918470577,285214.85918470577,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,50,949,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-15,285354.7199952042,285354.7199952042,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,50,950,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-18,285494.6493892482,285494.6493892482,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,1,51,950,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-19,285634.6474004692,285634.6474004692,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,951,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-20,285774.714062515,285774.714062515,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,952,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-21,285914.84940904984,285914.84940904984,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,953,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-22,286055.05347375455,286055.05347375455,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,954,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-25,286195.3262903265,286195.3262903265,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,955,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-26,286335.6678924795,286335.6678924795,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,956,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-27,286476.078313944,286476.078313944,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,957,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-28,286616.5575884668,286616.5575884668,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,958,163,43,0,21,35,62,1,84,2474.4607497746583
2022-07-29,286757.10574981145,286757.10574981145,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,959,163,43,0,21,35,62,1,84,2474.4607497746583
2022-08-01,286897.72283175803,286897.72283175803,0.0,1,0,0.0,0,0.00049037,C20,10,15,20,0.15,0.2,0.2,0,51,960,163,43,0,21,35,62,1,84,2474.4607497746583
