date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross
2021-03-19,C07,PRIO3,defensive_sell,6.0,-2.5438210432388892,1.0,1,18.7813035,0.0046965,2021-03-23,0,,,
2021-03-24,C07,CASH3,rebalance_sell,,,1.0,4,18155.46,4.54,2021-03-26,1,,,
2021-03-24,C07,SEQL3,rebalance_sell,,,1.0,1,3213.9963000000002,0.8037000000000001,2021-03-26,1,,,
2021-03-24,C07,CRPG5,concentration_trim,,,,28,1610.99715,0.40285,2021-03-26,1,0.16002323906586777,0.2,1640.1431584663842
2021-03-24,C07,INBR32,concentration_trim,,,,1,107.819738325,0.026961675,2021-03-26,1,0.15092797473309869,0.2,151.84788596638828
2021-03-25,C07,W1BD34,defensive_sell,6.0,-3.7834080557681324,1.0,69,22542.07094803125,5.63692696875,2021-03-26,0,,,
2021-03-29,C07,W1BD34,defensive_sell,6.0,-5.46930062581745,1.0,2,477.53013761249997,0.1194123875,2021-03-30,0,,,
2021-04-05,C07,INBR32,rebalance_sell,,,1.0,227,24301.08321,6.07679,2021-04-07,1,,,
2021-04-05,C07,MNPR3,rebalance_sell,,,1.0,3,2.9332665,0.0007335000000000001,2021-04-07,1,,,
2021-04-05,C07,CRPG6,concentration_trim,,,,9,530.7772725,0.1327275,2021-04-07,1,0.1532431364816275,0.2,536.8229138398056
2021-04-05,C07,ROMI3,concentration_trim,,,,35,873.1156665000001,0.2183335,2021-04-07,1,0.1554195037043098,0.2,897.067222964808
2021-04-14,C07,CRPG5,rebalance_sell,,,1.0,426,25123.457565,6.282435,2021-04-16,1,,,
2021-04-14,C07,CRPG6,rebalance_sell,,,1.0,420,24345.5121,6.0879,2021-04-16,1,,,
2021-04-14,C07,INBR32,rebalance_sell,,,1.0,1,125.501916675,0.031383325,2021-04-16,1,,,
2021-04-14,C07,ROMI3,rebalance_sell,,,1.0,995,29662.48752375,7.41747625,2021-04-16,1,,,
2021-04-14,C07,BRKM5,concentration_trim,,,,37,1733.386545,0.433455,2021-04-16,1,0.1601526740647406,0.2,1773.4659926403147
