date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,out_of_target_band,n_rebalance_sells_cum,n_concentration_trims_cum
2024-07-29,509394.2571580418,0.0181230417508629,693.686535,0,9,0.1555520873793759,0,0.0003927,C01,15,1,36,21,91,0,140,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1505,0,0,1183,897
2024-07-30,512645.5671176587,0.0181301586693585,42113.5189875,0,9,0.1505523600524691,0,0.0003927,C01,15,1,36,22,91,1,141,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1506,0,0,1183,900
2024-07-31,527117.3637430083,0.1601080084027932,113677.033635,0,9,0.1508876873932327,0,0.0003927,C01,15,1,36,22,92,2,142,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1507,0,0,1184,900
2024-08-01,529892.7839053969,1.610992896994245,5906.872912500001,0,9,0.1500341246658563,0,0.0003927,C01,15,1,36,22,93,3,143,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1508,0,0,1185,901
2024-08-02,535813.2325843296,5902.48298057946,528869.33460375,1,6,0.0013228863284716,0,0.0003927,C01,15,1,36,22,93,3,143,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1509,0,0,1194,901
2024-08-05,535927.967403095,370337.0621814199,165590.90522167506,1,0,0.0,0,0.0003927,C01,15,1,36,22,94,4,144,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1510,0,0,1199,901
2024-08-06,535794.0277718651,0.3980939401445408,34.479677925,0,9,0.150007345797109,0,0.0003927,C01,15,1,36,22,94,4,144,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1511,0,0,1199,901
2024-08-07,535371.8238751509,2.7873451509083678,79767.93303,0,7,0.1513130807176944,1,0.0003927,C01,15,1,36,22,95,2,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1512,0,1,1202,902
2024-08-08,534010.3854456906,1.2177931905648116,1409.0376524999997,0,7,0.1503790978390382,1,0.0003927,C01,15,1,36,22,95,1,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1513,0,1,1202,905
2024-08-09,548828.890068555,2.4656085549638806,202.10946,0,8,0.1709034030411258,1,0.0003927,C01,15,1,36,22,95,1,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1514,0,1,1202,905
2024-08-12,552599.0420633216,1.6650071466049048,22387.776956175,0,8,0.1513875588485256,1,0.0003927,C01,15,0,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1515,0,1,1202,906
2024-08-13,530275.90536217,1.6656609949113763,74403.389801175,0,7,0.1514381460442817,1,0.0003927,C01,15,0,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1516,0,1,1204,907
2024-08-14,522106.65043542,1.5523029199700844,3574.5761325,0,7,0.1513675413521194,1,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1517,0,1,1205,909
2024-08-15,543446.1426910857,2.2498410857450755,4439.48985,0,7,0.1709714462962257,1,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1518,0,1,1205,910
2024-08-16,535957.1763573122,0.1003741872154667,85545.47578312499,0,9,0.1533256827691301,0,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1519,0,0,1206,911
2024-08-19,533263.3896176976,0.7180320226861834,8545.120485675001,0,9,0.150244778771404,0,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1520,0,0,1209,913
2024-08-20,539819.4978544352,0.9025382353218688,4408.0329162,0,10,0.1500115205580003,0,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1521,0,0,1211,914
2024-08-21,543036.4233878133,0.0265649382780446,4956.269122874999,0,10,0.151757776183544,0,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1522,0,0,1213,915
2024-08-22,542459.5359726486,0.0250553986704184,82579.68091724999,0,10,0.1503655011866409,0,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1523,0,0,1215,917
2024-08-23,533311.2787528415,5.958394091527994,79700.63485875,0,10,0.1680392419406009,0,0.0003927,C01,15,1,36,22,95,0,145,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1524,0,0,1217,918
2024-08-26,533760.8829297391,0.0462303640607796,84072.179199375,0,9,0.1503264899435541,0,0.0003927,C01,15,1,37,22,95,1,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1525,0,0,1219,920
2024-08-27,526316.9027789303,0.1002208053217025,84911.334358125,0,9,0.1544126733739652,0,0.0003927,C01,15,1,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1526,0,0,1219,921
2024-08-28,512739.87485257786,0.092085077928484,7207.127767500001,0,10,0.1509867357639364,0,0.0003927,C01,15,1,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1527,0,0,1220,924
2024-08-29,518008.9964706644,7193.847817664471,509929.473753,1,5,0.0012052493378565,0,0.0003927,C01,15,1,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1528,0,0,1230,924
2024-08-30,518166.1620819824,365156.18124270736,153009.98083927497,1,0,0.0,0,0.0003927,C01,15,1,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1529,0,0,1235,924
2024-09-02,518369.6321515841,518334.5360278091,35.096123774999995,1,0,0.0,0,0.0003927,C01,15,0,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1530,0,0,1235,924
2024-09-03,518240.0746032672,3.84460326715356,0.0,0,10,0.1500318169325723,0,0.0003927,C01,15,0,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1531,0,0,1235,924
2024-09-04,525930.7160477664,0.0531765163742336,80696.73577125001,0,9,0.1512594674024988,0,0.0003927,C01,15,0,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1532,0,0,1237,925
2024-09-05,521943.86024908186,0.0208653319785514,5481.09438375,0,9,0.1504110422192442,0,0.0003927,C01,15,0,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1533,0,0,1238,927
2024-09-06,503189.1322599179,0.0600844178672431,9434.5387755,0,9,0.1523594113721817,0,0.0003927,C01,15,0,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1534,0,0,1238,929
2024-09-09,482528.18154172046,1.0337712204663745,134944.3734705,0,10,0.1516181081201252,0,0.0003927,C01,15,1,37,22,95,0,146,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1535,0,0,1240,932
2024-09-10,485714.4856928533,0.3245681283360711,126665.026924725,0,9,0.1501087617265452,0,0.0003927,C01,15,1,37,22,96,1,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1536,0,0,1240,933
2024-09-11,483953.0978554228,1.6951381977781443,3695.007117225001,0,10,0.1506550951385402,0,0.0003927,C01,15,1,37,22,96,1,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1537,0,0,1241,933
2024-09-12,485826.73402913753,1.2559416374528518,54480.4264875,0,9,0.1510229776601786,0,0.0003927,C01,15,0,37,22,96,1,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1538,0,0,1242,934
2024-09-13,484304.0908283456,1.0360783457070442,660.83475,0,9,0.1542597748291153,0,0.0003927,C01,15,0,37,22,96,1,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1539,0,0,1242,935
2024-09-16,491597.0656267922,1.467844917133729,5281.551781875,0,10,0.1576812707398214,0,0.0003927,C01,15,0,37,22,96,1,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1540,0,0,1243,938
2024-09-17,480686.9875225148,1.4684213398326873,12846.382901175002,0,10,0.1504745746765448,0,0.0003927,C01,15,0,37,22,96,1,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1541,0,0,1243,941
2024-09-18,479261.90968711657,2637.882960716583,3832.1361264,0,10,0.1500166788696763,0,0.0003927,C01,15,1,37,22,96,1,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1542,0,0,1243,944
2024-09-19,469725.4780568064,0.0752514814623037,8331.495305325,0,9,0.1501188317306311,0,0.00040168,C01,15,1,37,22,96,0,147,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1543,0,0,1245,947
2024-09-20,460726.1060511252,0.0511029002332426,46205.052948225,0,8,0.1528022811717727,1,0.00040168,C01,15,1,37,23,96,1,148,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1544,0,1,1246,949
2024-09-23,462699.19591798936,0.846384214334741,62708.58383377502,0,10,0.1511792555878967,0,0.00040168,C01,15,1,37,23,97,2,149,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1545,0,0,1248,952
2024-09-24,472531.8636309106,18.10157483545568,135738.63255607503,0,10,0.1500044398177665,0,0.00040168,C01,15,1,37,23,97,2,149,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1546,0,0,1250,953
2024-09-25,480279.1570304605,0.0292641605672512,152820.32016630002,0,10,0.1500225353219528,0,0.00040168,C01,15,0,37,23,97,1,149,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1547,0,0,1252,954
2024-09-26,481690.5987797563,25.67998745621333,45476.6587923,0,10,0.1500153836986965,0,0.00040168,C01,15,0,37,23,97,1,149,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1548,0,0,1256,955
