date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,buffer_k,is_rebalance_day
2019-07-31,C01,E2NP34,concentration_trim,,,,1133,4801.9005188764495,1.20077532355,2019-08-01,15.0,1
2019-08-01,C01,MNPR3,rebalance_sell,,,1.0,4,2.475381,0.000619,2019-08-05,15.0,1
2019-08-01,C01,E2NP34,concentration_trim,,,,307,1415.1735069528002,0.3538818472,2019-08-02,15.0,1
2019-08-02,C01,MNPR3,rebalance_sell,,,1.0,1,0.58685325,0.00014675,2019-08-06,15.0,1
2019-08-05,C01,LOGN3,rebalance_sell,,,1.0,1364,20659.43385,5.16615,2019-08-07,15.0,1
2019-08-05,C01,MNPR3,rebalance_sell,,,1.0,4,2.391402,0.000598,2019-08-07,15.0,1
2019-08-05,C01,BNBR3,concentration_trim,,,,5,383.904,0.096,2019-08-07,15.0,1
2019-08-06,C01,HAGA4,defensive_sell,6.0,-4.275915405902768,1.0,1,1.9995,0.0005,2019-08-08,15.0,1
2019-08-06,C01,BHIA3,rebalance_sell,,,1.0,91,14883.8781,3.7219,2019-08-08,15.0,1
2019-08-06,C01,MNPR3,rebalance_sell,,,1.0,1,0.6098475,0.0001525,2019-08-08,15.0,1
2019-08-06,C01,BNBR3,concentration_trim,,,,6,479.88,0.12,2019-08-08,15.0,1
2019-08-07,C01,MNPR3,rebalance_sell,,,1.0,1,0.5978505,0.0001495,2019-08-09,15.0,1
2019-08-07,C01,E2NP34,concentration_trim,,,,299,1467.1030065315,0.3668674684999999,2019-08-08,15.0,1
2019-08-08,C01,PINE4,rebalance_sell,,,1.0,1,8.377905,0.002095,2019-08-12,15.0,1
2019-08-08,C01,PINE4,defensive_sell,6.0,-3.2007561406450318,1.0,2407,20165.617335000003,5.042665000000001,2019-08-12,15.0,1
2019-08-09,C01,JSLG3,rebalance_sell,,,1.0,171,1034.2913625,0.2586374999999999,2019-08-13,15.0,1
2019-08-12,C01,DIRR3,rebalance_sell,,,1.0,1,4.2889275,0.0010725,2019-08-14,15.0,1
2019-08-13,C01,JSLG3,rebalance_sell,,,1.0,1,6.331716675,0.001583325,2019-08-15,15.0,1
